brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
Great Value,0078742371047,a,WHOLE GRAIN ROLLED OATS,"['en:plastic', 'en:paper', 'en:cardboard', 'en:ldpe-low-density-polyethylene', 'en:plastic-4']",,Old Fashioned Oats
General Mills,0016000123991,e,"whole grain oats, sugar, oat flour, corn syrup, modified corn starch, corn starch, dextrose, salt, gelatin, trisodium phosphate, yellow 5 , 6, red 40, blue 1, natural and artificial flavor, vitamin e (mixed tocopherols) added to preserve freshness, 
vitamins and minerals: calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin), vitamin b, (thiamin mononitrate), vitamin a (palmitate), a b vitamin (folic acid), vitamin b12, vitamin d3.","['en:plastic', 'en:box', 'en:container']",,Lucky Charms
IDAHOAN,0029700001414,a,"POTATOES, VEGETABLE OIL (COCONUT, SUNFLOWER, SOYBEAN), MALTODEXTRIN, DRIED CORN SYRUP, SALT, SUGAR, NONFAT DRY MILK, BUTTER (CREAM, SALT), MONO-AND DIGLYCERIDES, CALCIUM STEAROYL LACTYLATE, NATURAL FLAVORS, FRESHNESS PRESERVED BY SODIUM ACID PYROPHOSPHATE, SODIUM BISULFITE, CITRIC ACID, AND MIXED TOCOPHEROLS.","['en:plastic', 'en:sobre']",,Buttery Homestyle Mashed Potatoes
Nature's Path Organic,0058449771807,c,"Rolled oats*, cane sugar*, soy oil*, fair trade dark chocolate chunks* (cane sugar*, unsweetened chocolate*, cocoa butter*, vanilla*), flax seeds*, dried coconut*, cocoa*, freeze-dried berry blend* (freeze-dried strawberries*, freeze-dried raspberries*), rice starch*, sea salt, natural flavor, tocopherol (vitamin e).","['en:plastic', 'en:bag', 'en:pouch-flask', 'en:plastic-bag']",,Love Crunch Premium Organic Granola
Dr Pepper,0078000082401,not-applicable,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR PHOSPHORIC ACID, NATURAL AND ARTIFICIAL FLAVORS, SODIUM BENZOATE PRESERVATIVE), CAFFEINE. PRODUCED UNDED THE EDDED SEVEN TIP INC., 6425 HALL OF FAME Com",['en:plastic'],SEP0825 075€YC051253 ORE10¢REFUND,Dr Pepper
"Marque Repère, Notre Jardin",3564700004807,a,"Légumes en proportions variables (petits pois extra-fins, jeunes carottes), eau, sucre, sel, arôme naturel.","['en:plastic', 'en:canned', 'en:film', 'en:tray']",,Petits pois et jeunes carottes
Kirkland Signature,0096619338696,unknown,Amandes blanchies.,['en:plastic'],,Farine d'amande blanchie - Mouture ultrafine
amylu,0092227975322,e,"Organic Chicken, Organic White Cheddar Cheese (Pasteurized Organic _Milk_, Cheese Cultures, Sea Salt, Vegetable Enzymes), Organic Caramelized Onions (Organic Onions, Organic Extra Virgin Olive Oil), Organic Red Peppers, Sea Salt, Organic Evaporated Cane Sugar, Vinegar, Organic Spices, Organic Extract of Rosemary, Organic Garlic","['en:plastic', 'en:bag', 'en:box', 'en:cardboard', 'en:individual-bag']","1 cardboard box to recycle
4 plastic individual bags to discard",Caramelized Onion & Aged White Cheddar Charbroiled Chicken Burgers
fluff,0052600112751,unknown,"CORN SYRUP, SUGAR, EGG WHITE, ARTIFICIAL FLAVOR","['en:plastic', 'fr:pot-plastique']",,Marshmallow fluff
evian,0079298000078,not-applicable,Eau,"['en:plastic', 'en:pet-bottle']",,Evian Spring Water Natural
Tajín,0633148100556,e,"Chili peppers, sea salt, dehydrated lime juice, silicon dioxide",['en:plastic'],,Chili Seasoning
P.A.N.,0739907002069,a,"ZUTATEN: - INGREDIENSER: - INGREDIENTS: HARINA DE MAIZ AMARILLO PRECOCIDA 100% (Este producto contiene maiz modificado genéticamente). Puede contener trazas de soya VOORGEKOOKTE GELE MAIS MEEL 100% (Dit product bevat genetisch gemodificeerde Mais). Kan sporen van soja bevatten. PRE-COOKED YELLOW MAIZE MEAL 100% (This product contains genetically modified maize). May contain traces of soy VORGEKOCHTES GELBES MAISMEHL, 100% (Dieses Produkt enthalt genetisch veränderte Mais). Kann Spuren von Soja enthalten. FÖRKOKT GULT MAJSMJÖL 100% (Denna produkt innehåller genetiskt FARINE DE MAIS JAUNE PRÉCUITE 100% (Ce produit contient des mais modifierade majs). Kan innehålla spår av soja. génétiquement modifies). Peut contenir des traces de soja. IDED BY: FABRICAR",['en:plastic'],,Harina de maíz amarilla precocida paquete 1 kg
"Marque Repère, Turini",3564700282793,unknown,Semoule de blé dur de qualité supérieure. Traces d'œufs.,"['en:plastic', 'en:bag']",,Torsades
cheetos,0028400589895,b,"ENRICHED CORN MEAL (CORN MEAL, FERROUS SULFATE, NIACIN, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), VEGETABLE OIL (CORN, CANOLA, AND/OR SUNFLOWER OIL) FLAMIN' HOT SEASONING (MALTODEXTRIN [MADE FROM CORN SALT, SUGAR, MONOSODIUM GLUTAMATE, YEAST EXTRACT, CITRIC ACID, ARTIFICIAL COLOR (RED 40 LAKE, YELLOW 6 LAKE, YELLOW 6, YELLOW 5], SUNFLOWER OIL, CHEDDAR CHEESE (MILK, CHEESE CULTURES, SALT, ENZYMES), ONION POWDER, WHEY, WHEY PROTEIN CONCENTRATE, GARLIC POWDER, NATURAL FLAVOR BUTTERMILK, SODIUM DIACETATE, DISODIUM INOSINATE DISODIUM GUANYLATE), AND SALT. CONTAINS MILK INGREDIENTS.",['en:plastic'],,hot cheetos
Bob's Red Mill,0039978025463,c,"Inactive Nutritional Yeast [Dried Yeast, Niacin (Vitamin B3), Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Hydrochloride (Vitamin B1), Folic Acid, Vitamin B12].'","['en:plastic', 'en:pouch-flask']",,Large Flake Nutritional Yeast
Krambals,3800200450967,b,"Búzaliszt, napraforgóolaj, grillezett zöldség ízesítés 7% (étkezési só, maltodextrin, cukor, vöröshagymapor 13%, élesztő kivonat, fokhagymapor* 2,6%, természetes aromák, természetes színezékek (karamell*, paprika kivonat), száritott petrezselyem 2,5%, savanyúságot szabályozó anyagok (tejsav, citromsav), csomósodást gátló anyag (E551), kókuszolaj), étkezési só, élesztő, rozmaring kivonat, *Kén-dioxid forrása",['en:plastic'],,Bruschetta
Mondelez,0066721007438,b,"WHOLE GRAIN WHEAT, VEGETABLE OIL, SEASONING (SALT, RICE STARCH, BLACK PEPPER, NATURAL FLAVOUR (CONTAINS CELERY), ONION POWDER, GARLIC POWDER, EXTRA VIRGIN OLIVE OIL).","['en:plastic', 'en:cardboard', 'en:paperboard']",,triscuit seasoned with cracked pepper and olive oil
Welch's,0034856890089,b,"FRUIT PUREE (GRAPE, PEACH, ORANGE, STRAWBERRY AND RASPBERRY), CORN SYRUP, SUGAR, MODIFIED CORN STARCH, MODIFIED TAPIOCA STARCH, PORK GELATIN, CONCORD GRAPE JUICE FROM CONCENTRATE, PECTIN, CITRIC ACID (ACIDULANT), LACTIC ACID, NATURAL AND ARTIFICIAL FLAVORS, ASCORBIC ACID (VITAMIN C), ALPHA TOCOPHEROL ACETATE (VITAMIN E), VITAMIN A PALMITATE, SODIUM CITRATE, COCONUT OIL, CARNAUBA WAX, ANNATTO (COLOR), TURMERIC (COLOR), RED 40, AND BLUE 1.","['en:plastic', 'en:bag', 'en:box', 'en:cardboard', 'en:individual-bag']",PLEASE RECYCLE THIS BOX,Fruit Snacks
Uncle Chipps,8901491435109,b,"Potato, Edible Vegetable Oil (Palmolein), *Seasoning (Sugar, lodised Salt, ~Spices and Condiments, Acidity Regulators (330, 334, 296), Maltodextrin, Edible Starch, Salt Substitute (Potassium Chloride), Milk Solids, Anticaking Agents (551, 470), Flavour Enhancers (631, 627), Color (150d), Flavour (Natural and Nature Identical Flavouring Substances), Modified Starch (1450)). 
*As flavouring agent. ~Contains Onion 
ALLERGEN ADVICE: Contains Milk",['en:plastic'],,Potato chips (Spicy Treat flavour)20rs
Brandt,4013752019547,a,"_Weizenmehl_, Zucker, Hefe, Sonnenblumenöl 3.5%, Glukosesirup, Traubenzucker, Invertzucker, _Gerstenmalzextrakt_, Speisesalz, _Süßmolkenpulver_, Emulgator (Lecithine (_Soja_)), _Kondensmagermilch_, Mehlbehandlungsmittel (Ascorbinsäure).","['en:plastic', 'en:paper', 'de:packung-en']",,Der Markenzwieback
Best Foods,0048001265844,d,"Soybean oil, water, whole eggs and egg yolks, distilled vinegar, salt, sugar, lemon juice concentrate, calcium disodium edta (used to protect quality), natural flavors.","['en:plastic', 'en:jar']",,REAL MAYONNAISE
Jif,0051500720028,d,"roasted peanuts and sugar, molasses, fully hydrogenated rapeseed oil, fully hydrogenated soybean oil, mono and diglycerides, salt","['en:plastic', 'en:pot']",,EXTRA CRUNCHY PEANUT BUTTER
Grey Poupon,0054400015034,b,"DISTILLED WHITE VINEGAR, MUSTARD SEED, WATER, SALT, WHITE WINE, CITRIC ACID, TARTARIC ACID, FRUIT PECTIN, SUGAR, SPICES.","['en:plastic', 'en:bottle']",,Dijon Mustard
Kirkland Signature,0096619000036,d,"Milk, Vitamin D3","['en:plastic', 'en:bottle']",,Milk
Heinz,8715700411231,unknown,"Sonnenblumenöl 36%, Tomatenmark 20%, Branntweinessig*, Zucker, Wasser, Molkenpulver (Milch) Sherry 3,8%, Salz, modifizierte Stärke, Senfsamenpulver, Aromen (enthalten Ei), Säuerungsmittel (Citronensäure), Verdickungsmittel (Xanthan), Cayennepfeffer. *Österreich: Weingeistessig.","['en:plastic', 'en:bottle', 'en:produkt']",,Cocktailsauce
Delmonte Bag 30669,0717524611109,a,fresh bananas.,['en:plastic'],,"Bananas 3 lb bag, 30669"
Kirkland Signature,0096619222698,b,Honey.,['en:plastic'],,Raw Unfiltered Honey
ice,6111243860123,not-applicable,"Eau gazéifiée, sucre, acidifiant E 330, extraits d'agrumes, conservateur E 211, Anti-oxydant E 300, Citrate de Sodium E331. Mise en bouteille par VCR-Sodalmu",['en:plastic'],,Ice lemonade
French's,0041500000312,b,"DISTILLED VINEGAR, WATER, * MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE, NATURAL FLAVOR, GARLIC POWDER, *: #1 GRADE.","['en:plastic', 'en:bottle-cap', 'en:squeeze-bottle', 'en:hdpe-bottle']",,Classic Yellow Mustard
Pacific Foods,0052603056076,unknown,"ORGANIC CHICKEN BONE BROTH (WATER, ORGANIC CHICKEN, ORGANIC ONIONS, ORGANIC SPICES, ORGANIC CARROTS, ORGANIC CELERY, ORGANIC ROSEMARY EXTRACT [ANTIOXIDANT]), ORGANIC APPLE CIDER VINEGAR","['en:plastic', 'en:multilayer-composite', 'en:tetra-pak', 'en:cardboard', 'en:paperboard', 'en:tetra-brik-aseptic']",,Organic Bone Broth Chicken Unsalted
Quaker,0030000041703,b,"Degerminated white corn grits, niacinamide, reduced iron, thiamin mononitrate, riboflavin, folic acid.","['en:plastic', 'en:paper']","1 recycled paperboard canister to recycle
1 opaque plastic lid
1 transparent plastic wrapper",Grits Quick 5-Minute
I can't believe it's not Butter!,0040600341226,unknown,"WATER, SOYBEAN OIL, SALT, XANTHAN GUM, SOY LECITHIN, POLYSORBATE 60, LACTIC ACID, POTASSIUM SORBATE AND CALCIUM DISODIUM EDTA, NATURAL AND ARTIFICIAL FLAVOR, BETA CAROTENE (COLOR)",['en:plastic'],,I can't believe it's not Butter! the ORIGINAL
"Flying Goose,Flying Goose Brand,Royal,Tang Frères",0087666052802,unknown,"Chili 61%, Flytande socker 25% (Socker 67%, vatten 33%), Salt 5,1%, Vitlök 5,0%, Vatten 2,86%, Smakförstärkare: E621 0,5%, Stabiliseringsmedel: E415 0,3%, Surhetsreglerande medel: E260 0,1%, E330 0,05%, Konserveringsmedel(E202) 0.09%.","['en:plastic', 'en:metal', 'en:bottle-or-vial', 'en:pet-1-polyethylene-terephthalate', 'en:recyclable-metals', 'en:aluminium', 'en:bottle']",Förpackningen källsorteras som hårdplast.,Sriracha Hot Chilli Sås
glaceau,0786162150004,not-applicable,"reverse osmosis water, crystalline fructose, cane sugar, less than 1% of: Vitamins A, C, B3, B5, B6, B12 (beta-carotene, ascorbic acid, niacinamide, calcium pantothenate, pyridoxine hydrochloride, cyanocobalamin), sodium selenate, manganese citrate, electrolytes (magnesium, calcium lactates, potassium phosphate), cane sugar, citric acid, gum acacia, natural flavors, fruit and vegetable juices (for color)","['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:bottle', 'en:opaque-pet', 'en:recyclable-material', 'en:recyclable-plastic', 'en:transparent-pet']","1 PETE transparent plastic bottle to recycle
1 PETE opaque plastic cap to recycle",Açai-Blueberry-Pomegranate XXX Nutrient Enhanced Water
Sensible Portions,0829515302009,unknown,"veggie straws (potato starch, potato flour, corn starch, tomato paste, spinach powder, salt, potassium chloride, sugar, beetroot powder [color], turmeric, canola oil and/or safflower oil and/or sunflower oil, sea salt),","['en:plastic', 'en:bag']",,garden Veggie Straws Sea Salt
Gastone Lago,8004800002877,d,"Farine de blé, sucre, huile de coco, cacao maigre en poudre (11% dans le fourrage), lactosérum en poudre, émulsifiants : lécithine de soja, sel, poudres à lever : carbonate acide de sodium, extrait de vanille.",['en:plastic'],,Gaufrettes avec crème au cacao
Rummo,8008343200424,unknown,Semola di _grano_ duro,"['en:plastic', 'en:pp-polypropylene', 'da:81-c-pap', 'it:sacchetto-carta']","1 sacchetto 81-CPAP da riciclare, 1 etichetta 05-PP da riciclare",Conchiglie rigate n°42
Naturipe,0812049006604,not-applicable,bleuets,"['en:plastic', 'en:pet-polyethylene-terephthalate']",,Blueberries bleuets
Kirkland Signature,0096619663712,unknown,"EASY supplement adults, chew two (2) gummies d Supplement Facts Size 2 Gummies Per Container 80 Bach Serving Contains % Daily Value Each Serving Contains % Daily Value Cames 15 Carbohydrate 4 g 1%* Tal Sugars 2 g ** Folate 666 mcg DFE (400 mcg folic acid) Vitamin B-12 50 mcg Includes 2 g Added Sugars 4%* Biotin 300 mcg A 750 mcg C 30 mg D 20 mcg (800 IU) E 6.75 mg an 10 mg B-64 mg 83% Pantothenic Acid 10 mg 33% Chromium 120 mcg 100% Molybdenum 37.5 mcg 45% Lutein 278 mcg 63% 187 2,083% 1.000% 200 343% *Percent Daily Values are based on a 235% 2,000 calorie diet. **Daily Value not established. REMENTS: Corn Syrup, Sugar, Water, Gelatin, Ascorbic Acid, d-Calcium Pantothenate, Clic Ac Tocopheryl Acetate, Natural Flavors, Maltodextrin, Vitamin A Palmitate, Niacinamide fel, Vegetable and Fruit Juice (Color), Pectin, Cyanocobalamin, Pyridoxine Hyd Sum Molybdate, Vegetable Oil (Palm) (Contains Carnauba Wax), Lutein, Safflower O Picolinate, Folic Acid, d-Biotin. ted by: Costco Wholesale Corporation, P.O. Box 34535, Seattle, WA 98124-1535 USA co.com Not intended for use by pregnant or nursing women. If you are taking any medications any clinical lab testing, consult your doctor before use. Some supplements may intera any medical or surgical procedure, have any medical condition, or are planning to in medications and/or interfere with certain lab tests. Discontinue use and consult cur if any adverse reactions occur. of the reach of children. at temperature, tightly closed. Adesive heat. ly Values are based on the new Reference 900 published by the FDA in May 2016. VITAMIN INFOLINE 1-800-433-1213 DO NOT USE IF PRINTED SEAL IS BROKEN OR MISSING IMPORTANT: TAMPER-EVIDENT SEAL UNDER CH",['en:plastic'],,Adult Multivitamin Gummies
"REWE Bio, Würzburger Milchwerke GmbH",4337256080347,unknown,Speisequark,['en:plastic'],,Speisequark Magerstufe
"Thai Preserved Food Factory Co. Ltd., Wai Wai, ไวไว",8850100002488,c,"noodles (52,2 g)  wheat  flour 67,50%, palm oil 10,00%, water 1,20%, salt 0,50%, seasoning sachet (4,8 g): sugar 4,60%, garlic powder 3,60%, salt 2,50%,  soy  sauce powder 1,33%, chili powder 1,00%, dried spring onion 0,50%, monosodium glutamate 0,50%, artificial beef flavour 0,17%, black pepper 0,10%, oil sachet (3,0g): palm oil 5,00%, shallot 1,50%","['en:plastic', 'en:bag', 'en:wrapper', 'en:metallized']",,Instant Noodles Casserole Beef Flavour
Trader Joes,00125642,not-applicable,Carrot,"['en:plastic', 'en:bowl', 'en:card-sleeve', 'en:mixed-plastic-film']",,Pretzel Sticks
Coca-Cola,0049000050103,not-applicable,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine","['en:plastic', 'en:bottle-or-vial', 'en:bottle', 'en:pet-bottle']",,Coca-Cola Soda
Gulden's,0064144321605,b,"vinegar, water, mustard seed, salt, less than 2% of spices, turmeric",['en:plastic'],,Spicy Brown Mustard
Justin's,0894455000315,unknown,"Dry roasted almonds, palm oil.",['en:plastic'],,Classic Almond Butter
Chobani,0894700010168,b,"Cultured nonfat milk, black cherries, cane sugar, water, fruit pectin, cherry juice concentrate, natural flavors, locust bean gum, guar gum, lemon juice concentrate. 6 live and active cultures: S. Thermophilus, L. Bulgaricus, L. Acidophilus, bobant.com Bifidus, L. Casei, and L. Rhamnosus.",['en:plastic'],,Greek Yogurt Black Cherry on the Bottom
Joker,3123340008288,a,"Jus d'orange à base de jus concentré 100%, vitamine C.","['en:plastic', 'en:bottle']",,Le Fruit - Orange sans pulpe
Mondelez norge as,7622210233721,b,"wheat  flour, sunflower oil, sugar, raising agents (ammonium carbonates, potassium carbonates, calcium phosphates), salt,  barley¨  malt flour, glucose-fructose syrup,","['en:plastic', 'en:card-sleeve', 'en:mixed-plastic-film-wrapper']",,Ritz Breaks Original 6x38g
Driscoll,0715756100200,not-applicable,Blackberries,"['en:plastic', 'en:pet-tub']",,Blackberries
Tate's Bake Shop,0810291001026,c,"Butter, Unbleached flour (_wheat_ flour, niacin, reduced iron, thiamine mononitrate, ribflavin, folic acid, malted barley flour), Oats, Brown cane sugar, Cane sugar, Raisins, _Eggs_, _Milk_, Salt, Baking Soda, Natural vanilla flavor, Cinnamon","['en:plastic', 'en:bag']",,Oatmeal Raisin Cookies
Garden of Life,0658010122399,unknown,"Organic Protein & Greens Blend: Organic Pea Protein, Organic Sprouted Brown Rice Protein, Organic Chia Protein, Organic Spinach (leaf), Organic Alfalfa Grass Juice, Organic Broccoli (stalk &flower), Organic Navy Bean (sprout), Organic Lentil Bean (sprout), Organic Garbanzo Bean (sprout), Organic Carrot (root), Organic Beet (root), Organic Kale (leaf), 

Organic Flavor Blend: Organic Vanilla Flavors with Other Natural Flavors, Organic Stevia Extract (leaf), 

Probiotic & Enzyme Blend: Lipase, Protease, Aspergillopepsin, beta-Glucanase, Cellulase, Bromelain, Phytase, Lactase, Papain, Peptidase, Pectinase, Hemicellulase, Xylanase, Lactobacillus plantarum Lp-115, Lactobacillus bulgaricus Lb-87 (1.5 Billion CFU at the time of expiration).",['en:plastic'],,Organic Protein + Greens Delicious Protein & Veggie Shake
Nature's Own,0072250025256,b,These buns sat out for almost a month no mold are they radiated?,['en:plastic'],,Hamburger Buns Brioche Style
Chobani,0818290018304,a,"Milk, Water, Skim Milk, Allulose, Natural Flavors, Tapioca Flour, Citrus Fiber, Vegetable Juice Concentrate, Guar Gum, Sea Salt, Stevia Leaf Extract, Monk Fruit Extract, Citrus Acid, Enzyme, Cultures.",['en:plastic'],,Zero Sugar Mixed Berry Flavored
"HP, Heinz",5000111047364,b,"Tomaten, Glukose-Fruktosesirup, Branntweinessig*, Zucker, Melasse, Honig 4%, modifizierte Maisstärke, Salz, Raucharomen, Gewürze, Aromen. (Österreich: Weingeistessig)",['en:plastic'],,"BBQ Soße Deliciously Sweet & Tangy Honey Woodsmoke BBQ Sauce Dip Marinade, mild"
Pringles,03808306,b,"DRIED POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN OIL, COTTONSEED OIL, SOYBEAN OIL, AND/OR SUNFLOWER OIL), T DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH RICE FLOUR, MALTODEXTRIN, MONO AND DIGLYCERIDES, SALT, WHEAT STARCHA CONTAINS WHEAT INGREDIENTS.","['en:plastic', 'en:tub']",,Potato Crisps
Peter Pan,0045300005409,d,"Roasted Peanuts, Sugar, Less than 2% of: Hydrogenated Vegetable Oils (Cottonseed and Rapeseed), Salt. CONTAINS: PEANUTS.","['en:plastic', 'en:jar']",,Crunchy Peanut Butter
Jif,0051500241639,d,"roasted peanuts and sugar, molasses, fully hydrogenated rapeseed oil, fully hydrogenated soybean oil, mono and diglycerides, salt",['en:plastic'],,Extra Crunchy Peanut Butter
Food for Life,0073472001530,a,"Organic Sprouted Wheat, Filtered Water, Organic Sprouted Barley, Organic Sprouted Millet, Organic Malted Barley, Organic Sprouted Lentils, Organic Sprouted Soybeans, Organic Sprouted Spelt, Fresh Yeast, Organic Wheat Gluten.","['en:plastic', 'en:plastic-4']",,Flourless Sprouted Grain Bread
Cadbury,5000201499776,e,"_Milk_, sugar, cocoa butter, cocoa mass, whey powder (from _milk_), vegetable fats (palm, shea), emulsifiers (E442, E476), flavourings.","['en:plastic', 'en:mixed-plastic-wrapper']",,Twirl
Everyday,5400141036855,a,kristalsuiker,"['en:plastic', 'nl:product']",,Granulated sugar
Nongshim,8801043157735,d,"noodles 90%: wheat flour, potato starch, palm oil, rice flour, wheat gluten, salt, acidity regulators e501, e500, e339, antioxidant: e306, emulsifier e322 (contains soy), thickener: e412, seasoning agent (maltodextrin, garlic extract), green tea extract, colour: e101, seasoning powder 10%: condiments (hydrolyzed vegetable protein (soy, wheat), maltodextrin, salt, yeast extract, black pepper, shiitake), salt, sugar, condiments (red chillies, garlic, rice bran oil, black pepper), dried seaweed, flavour enhancer: e631, e627, red chillies, colour: e150c, may contain barley, crustaceans, eggs, fish, peanuts, milk, celery, mustard, sesame seeds and molluscs,","['en:plastic', 'de:plastique', 'de:sachet']",,AnSungTangMyun Noodle
Marks & Spencers,00352574,unknown,"Chickpeas (27%) (Water Chickpeas), Onions, Broad Beans (19%), Rapeseed Oil, Chickpea Flour, Rice Flour, Coriander, Parsley, Garlic Purée, Ground Spices (Cumin, Coriander, Black Pepper, Ginger, Cayenne Pepper), Salt, Lemon Zest, Green Chilli Purée, Cornflour, Dextrose.","['en:plastic', 'en:film']",,Fresh Herb Falafels
SOLELY,0856261006134,a,ORGANIC PINEAPPLE,['en:plastic'],,organic FRUIT JERKY
Great Value Organic,0078742300665,e,ORGANIC _CHIA SEEDS_,['en:plastic'],,Chia Seeds
Trader Joe's,00881098,f,"chicken breast tenderloins, wheat flour, water, cracker meal (wheat flour, soybean oil), contains 2% or less of salt, cornstarch, sea salt, spices (black pepper, celery seed), natural flavors, dried whey (milk), leavening (cream of tartar, sodium bicarbonate), torula yeast, paprika extractives (color and spice), spice extractives (including black pepper). breading set in sunflower oil and/or safflower oil.",['en:plastic'],,Breaded Chicken Tenderloin Breasts
Tostitos,0028400517942,b,"corn, vegetable oil (corn, canola, and/or sunflower oil), maltodextrin (made from corn), salt, sugar, natural flavors, dextrose, sour cream (cultured cream, skim milk), whey, spice, and yeast extract,",['en:plastic'],,Hint of Lime Flavored Triangles
Simple Mills,0856069005643,c,"Seed & Nut Flour Blend (watermelon, cashew, sunflower, flax), Tapioca Starch, Arrowroot, Coconut Sugar, Organic Coconut Oil, Honey, Organic Honey Extract, Organic Cinnamon, Baking Soda, Rosemary Extract, Sea Salt, Cream of Tartar, Vanilla Extract.","['en:plastic', 'en:cardboard']",,Sweet Thins Honey Cinnamon
Snickers,5000159461122,unknown,"Milk Chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin), peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor.","['en:plastic', 'en:wrapper']",1 wrapper plastic (discard),Snickers
Jif,0051500075654,e,"PEANUTS, SUGAR, PALM OIL, SALT, MOLASSES",['en:plastic'],,Peanut Butter Spread
Ajinomoto,0071757056428,e,"riz cuit (riz, eau, cubes de viande blanche de poulet assaisonnée cuite (viande blanche de poulet, vin de riz de cuisson sucré (eau, Mirin (riz, alcool, sel, Komi (aspergillusoryzae)), sucre, acide lactique), eau, sucre turbine, sauce soya (eau, blé, fèves de soya, sel), fécule de manioc, huile de soya, sel marin, arôme naturel) sauce soya (eau, blé, fèves de soya, alcool), carottes, poireaux, carottes jaunes, huile de canola, vin de riz de cuisson sucré (eau, mirin),(riz, alcool, sel, Komi) aspergillus oryzae)), sucre, acide lactique, edamame, pois verts, poivrons rouges, maïs sucré grillé, oignons, sauce assaisonnée (eau, extrait de varech, dextrine, alcool, sel, gomme de xanrhane), sucre, huile de sésame et, poudre de sauce soya (sauce soya (fèves de soya fermentées, blé, sel), maltodextrine, sel), ail, poivre noir, inosinate de sodium, guanylate de sodium.","['en:plastic', 'en:bag', 'en:box', 'en:cardboard', 'fr:portions-individuelles-en-sachet']",,Yakitori Chicken w/Japanese-style Fried Rice
Member's Mark,0078742444475,unknown,"Noix de cajou, amandes, noix de pécan, pistaches, noisettes, huile d'arachide.",['en:plastic'],,Unsalted Deluxe Mixed Nuts
Fiji,0632565000012,not-applicable,Mineral Water.,"['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:bottle']",,Fiji
KRAFT,0021000052288,b,"HIGH FRUCTOSE CORN SYRUP, VINEGAR, WATER, TOMATO PUREE (WATER, TOMATO PASTE) MOLASSES, MODIFIED FOOD STARCH, SALT, MALTODEXTRIN, NATURAL SMOKE FLAVOR, DRIED ONION, MUSTARD SEED FLOUR, CARAMEL COLOR, SPICES, PAPRIKA, DRIED GARLIC, PAPRIKA EXTRACT, STEVIA LEAF EXTRACT, NATURAL FLAVOR, POTASSIUM SORBATE","['en:plastic', 'en:bottle']",,Original Barbecue Sauce imp
Hellmann's,0048001265349,d,"SOYBEAN OIL, WATER, WHOLE EGGS AND EGG YOLKS (WHOLE EGGS AND EGG YOLKS), VINEGAR, SALT, SUGAR, LEMON JUICE CONCENTRATE, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), NATURAL FLAVORS.","['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:pp-polypropylene', 'en:jar', 'en:lid', 'en:transparent-pet']","1 Transparent PET jar to recycle, 1 Polypropylene lid to discard",Real Mayonnaise
Wang,0087703138322,d,"WATER, ALOE VERA GEL, SUGAR, FRUCTOSE, CITRIC ACID, CALCIUM LACTATE, VITAMIN C, ALOE FLAVOR, FD&C BLUE # 1, FD&C YELLOW # 5.","['en:plastic', 'en:pet-polyethylene-terephthalate', 'en:bottle', 'en:colored-pet']",,Aloe
Mountain Dew,01213104,not-applicable,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP. CONCENTRATED ORANGE JUICE, CITRIC ACID, NATURAL FLAVOR, SODIUM BENZOATE (PRESERVES FRESHNES), CAFFEINE, SODIUM CITRATE, GUM ARABIC, ERYTHORBIC ACID (PRESERVES FRESHNESS), CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR, YELLOW 5.","['en:plastic', 'en:bottle']",,Mountain Dew
Heinz,01321207,b,"DISTILLED WHITE VINEGAR, MUSTARD SEED, WATER, SALT, TURMERIC, SPICES, NATURAL FLAVOR.","['en:plastic', 'en:bottle']",,Yellow Mustard
